PLAYER,YEAR,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT,HEIGHT_SHOES,STAND_REACH,WEIGHT,WINGSPAN
Terrence Ross,2012,SG-SF,3.20%,8.75,10.25,144,156,150,196.6,159
Terrico White,2010,SG-PG,3.70%,9,10.5,117,132,156,202.6,180
Terry Rozier,2015,PG-SG,5.60%,8.25,8.5,78,99,126,190.2,171
Thanasis Antetokounmpo,2014,SF,6.05%,9,9.75,135,147,198,205.2,84
Thomas Bryant,2017,PF-C,9.40%,9.5,10.25,186,201,162,247.8,156
Thomas Robinson,2012,PF,5.00%,9.75,10.5,165,177,216,244.2,123
Thomas Welsh,2017,PF-C,10.90%,9,10.5,210,90,126,254,84
Thon Maker,2016,PF,6.05%,8.75,9.5,213,93,138,216,120
Tim Hardaway Jr.,2013,SG,6.05%,8,9.25,126,147,156,199.4,156
TJ Leaf,2017,PF,6.80%,8.5,9.5,177,189,228,222.2,204
TJ McConnell,2015,PG,7.30%,7.5,7,78,96,102,187.8,96
Tobias Harris,2011,SF-PF,8.40%,8.75,9,150,165,186,222.8,204
Tomas Satoransky,2012,PG-SG,5.20%,8.5,9.5,150,162,144,200.6,159
Tony Bradley,2017,C,12.00%,9.5,9.5,183,201,162,248.8,144
Tony Mitchell,2013,PF-SF,5.55%,9,10,162,177,222,236.4,114
Tony Mitchell,2012,SG,5.70%,8.5,10,135,147,144,216.4,192
Tony Snell,2013,SF-SG,4.85%,9,9.5,144,159,210,198.2,210
Tony Wroten,2012,PG,5.20%,8,9,129,144,156,203.2,180
Travis Leslie,2011,SG,8.10%,8.75,9.25,108,123,180,205,198
Treveon Graham,2015,SF,5.50%,8.5,8.25,120,141,180,219.4,198
Trevor Booker,2010,PF,7.30%,9,9.5,147,162,216,235.8,189
Trevor Mbakwe,2013,PF,5.90%,9.5,11.5,153,168,222,235.8,132
Trey Burke,2013,PG,6.90%,8.25,8.75,201,87,114,187,138
Trey Lyles,2015,PF,12.10%,9.25,10.25,180,195,108,241.2,102
Trey Thompkins,2011,PF,15.50%,9.25,9.75,174,189,234,239,96
Tristan Thompson,2011,PF,6.20%,8.75,9.25,162,177,114,227.4,99
Troy Williams,2016,SF,10.00%,8.25,9.25,141,153,168,217.8,171
Tu Holloway,2012,PG,8.50%,8.75,10,186,201,210,186.8,138
Tyler Dorsey,2017,SG,4.70%,8.5,9.25,108,126,138,182.6,135
Tyler Ennis,2014,PG,6.20%,8.25,8.75,84,102,120,181.5,159
Tyler Harvey,2015,SG,9.20%,7.75,8.75,105,120,126,181.4,138
Tyler Honeycutt,2011,SF,5.30%,8.5,9.5,153,171,204,186.8,180
Tyler Lydon,2017,PF,13.60%,8.75,8.75,171,186,234,215,84
Tyler Ulis,2016,PG,5.20%,7.5,7.5,165,180,138,149.2,96
Tyler Zeller,2012,PF-C,6.40%,9,9.75,207,90,198,247.4,84
Tyshawn Taylor,2012,PG,4.20%,8.75,8.75,105,120,114,177,147
Tyus Jones,2015,PG,6.50%,8.25,8.75,78,96,108,184.6,132
V.J. Beachem,2017,SG-SF,6.80%,8.5,9,147,168,198,193.4,195
Vander Blue,2013,SG,4.60%,8.5,9.5,114,135,150,197.4,144
Victor Oladipo,2013,SG,6.55%,8.75,9.25,111,123,150,213.2,183
Vince Hunter,2015,PF,4.60%,9,8.75,153,162,198,208.4,204
Wade Baldwin IV,2016,PG,5.20%,9,9.75,102,120,144,201.8,207
Wayne Selden,2016,SG,7.30%,9,9.25,123,141,156,232.4,198
Wesley Iwundu,2017,SG-SF,4.00%,8.75,9.5,138,153,210,193.4,96
Wesley Johnson,2010,SF,4.60%,9,9.5,147,159,216,206.4,96
Will Barton,2012,SG-SF,4.10%,9,9.5,132,144,174,174.4,189
Will Clyburn,2013,SF-SG,6.85%,9.25,10.25,141,156,204,210.4,87
William Buford,2012,SG-SF,11.30%,8.75,10,120,132,168,214.6,186
Willie Cauley-Stein,2015,C,6.30%,9.5,9,207,90,144,242.4,120
Willie Warren,2010,SG-PG,7.60%,8.5,9.5,102,117,138,208.4,144
Xavier Henry,2010,SG,4.70%,8.75,10,135,150,204,210.2,207
Xavier Thames,2014,PG,6.40%,8.25,9,99,114,96,187,120
Zach Collins,2017,PF-C,8.90%,8.75,9.25,195,84,144,232.2,96
Zach LaVine,2014,PG,4.70%,8.25,8.75,126,141,144,180.9,171
Zhou Qi,2016,PF-C,4.85%,9.25,9.5,99,111,162,218.2,177
