PLAYER,YEAR,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT,HEIGHT_SHOES,STAND_REACH,WEIGHT,WINGSPAN
James Young,2014,SG,5.10%,9,9.5,135,153,192,213.3,84
Jamie Skeen,2011,PF,9.80%,8.5,8.5,150,168,222,241.6,99
JaMychal Green,2012,PF,9.80%,9.25,9.25,168,180,222,217.4,111
Jared Cunningham,2012,SG-PG,3.60%,8.25,9,114,132,120,187.6,150
Jared Sullinger,2012,PF,10.70%,9.25,9.75,165,180,210,268.2,99
Jarell Martin,2015,PF,10.10%,8.25,9.5,168,183,156,238.6,180
Jarnell Stokes,2014,PF,8.20%,9.75,10.5,156,174,186,262.8,99
Jaron Blossomgame,2016,SF,5.25%,8.5,10,147,159,168,213.6,192
Jaron Blossomgame,2017,SF,5.70%,8.75,10.25,141,153,198,218.6,192
Jarrett Allen,2017,C,7.40%,9.5,10.5,180,195,126,233.6,147
Jarrod Uthoff,2016,PF,6.00%,8.75,9,174,189,192,214.4,210
Jarvis Varnado,2010,PF-C,9.50%,9.25,9.5,171,192,126,210.2,126
Jawun Evans,2017,PG,9.10%,8,7.75,189,198,216,185.2,138
Jaylen Brown,2016,SG-SF,5.05%,8.75,9,135,153,174,222.8,213
Jeff Taylor,2012,SF-SG,4.20%,8.25,9.75,144,159,162,212.8,147
Jeff Withey,2013,C,8.65%,9,9.75,201,90,138,221.8,108
Jerami Grant,2014,SF,3.75%,9.25,9.25,150,165,228,214,117
Jereme Richmond,2011,SF,5.50%,8.75,9.5,144,159,222,207.2,195
Jeremy Lamb,2012,SG,4.50%,8.75,9.25,120,135,168,179.2,204
Jeremy Tyler,2011,PF-C,13.40%,9.25,9,180,198,138,262.4,144
Jerian Grant,2015,PG,5.60%,8.25,8.5,111,123,144,198,162
Jerome Jordan,2010,C,6.90%,9,10.25,210,93,168,244.2,147
Jimmy Butler,2011,SF,5.40%,9,9,144,165,162,222.2,162
Joe Harris,2014,SG,6.20%,8.5,9.75,129,147,144,215,144
Joel Bolomboy,2016,PF,5.15%,9,10.25,162,180,186,224.4,105
John Collins,2017,PF,5.40%,9,10,171,186,222,225.2,207
John Henson,2012,PF,8.60%,9.25,10,180,198,156,216,144
John Jenkins,2012,SG,7.10%,9,9,111,123,120,212,174
John Wall,2010,PG,5.60%,8.25,9.5,105,120,162,195.6,183
Johnathan Motley,2017,PF,,9,9.5,165,177,108,238.2,132
Johnny O?Bryant III,2014,PF,10.75%,9.25,9.5,159,174,204,256.8,111
Jon Diebler,2011,SG,8.50%,8.25,8.25,135,150,132,196.6,144
Jon Leuer,2011,PF,5.40%,8.75,9.75,192,210,210,223.2,84
Jon Scheyer,2010,PG-SG,5.40%,7.75,9.5,129,144,132,180,111
Jonathan Holmes,2015,PF-SF,7.20%,8.25,9.5,171,183,234,242.2,210
Jonathan Jeanne,2017,PF-C,8.70%,9.5,10,93,108,174,207.4,162
Jordan Adams,2014,SG,10.80%,8.5,7.5,114,129,168,208.8,192
Jordan Bachynski,2014,PF,7.45%,9.25,10,99,108,114,254.1,132
Jordan Bell,2017,PF,5.40%,9.25,9.5,156,174,198,223.6,213
Jordan Clarkson,2014,PG,4.30%,8.25,9,111,132,120,186.3,168
Jordan Crawford,2010,SG,4.90%,8,9,108,126,156,198.4,156
Jordan Hamilton,2011,SF,9.80%,9,9.25,153,174,192,228.4,186
Jordan McRae,2014,SG,5.20%,8.75,8.5,117,135,192,179.4,90
Jordan Mickey,2015,PF,7.20%,8.75,9.5,156,171,216,238,123
Jordan Taylor,2012,PG,5.50%,8.25,9.5,84,96,186,192.8,108
Jordan Williams,2011,PF,12.10%,9.25,10,165,180,222,247.2,87
Joseph Young,2015,SG-PG,4.10%,8.75,7.5,81,96,210,182.2,132
Josh Hart,2016,SG,5.75%,8.5,9.25,120,138,138,203.6,174
Josh Hart,2017,SG-SF,5.80%,8.5,9.5,117,132,156,209.2,171
Josh Selby,2011,SG-PG,7.90%,8.5,9,93,108,120,194.6,135
Julius Randle,2014,PF,9.40%,8.75,8.25,165,180,210,249.7,84
Justin Anderson,2015,SF-SG,5.00%,8.5,9.5,135,147,156,230.6,213
Justin Harper,2011,PF-SF,4.00%,9,9.25,168,177,216,228,213
Justin Jackson,2016,SF,7.60%,8.75,8.75,156,171,186,193.4,201
Justin Jackson,2017,SF,8.10%,8.75,9.25,156,171,198,200.8,204
Justin Patton,2017,C,7.80%,8.75,9.75,192,207,150,229,120
Justise Winslow,2015,SF,5.30%,8.5,9.25,126,150,198,221.8,195
K.J. McDaniels,2014,SF,4.45%,8.75,9.75,126,144,168,195.6,207
Kadeem Allen,2017,PG,6.40%,8.5,8.75,84,99,138,192.4,183
Kawhi Leonard,2011,SF,5.40%,9.75,11.25,144,156,216,227.4,120
Kay Felder,2016,PG,5.80%,8.25,8.5,159,174,138,177.2,102
Keifer Sykes,2015,PG,5.00%,8.5,9.5,186,201,192,167.2,96
Keith Benson,2011,C-PF,6.10%,9.5,11,192,204,126,217,129
Keith Gallon,2010,PF-C,15.10%,9.25,10.5,174,186,126,301.8,138
Kelly Olynyk,2013,PF-C,6.65%,8.5,10,201,84,108,234,189
Kelly Oubre,2015,SF-SG,5.70%,9,8.75,141,153,174,202.8,111
Kemba Walker,2011,PG,5.90%,8,9,198,84,174,184,114
Kendall Marshall,2012,PG,7.80%,8.5,9,111,123,96,198.4,138
Kendall Williams,2014,PG,7.20%,8,7.75,99,117,132,183,138
Kennedy Meeks,2017,C,11.50%,8.75,8.75,177,195,216,276.6,96
Kenneth Faried,2011,PF,6.30%,8.5,10.25,144,162,108,224.6,84
Kenny Kadji,2013,PF-C,7.45%,9,10.25,177,192,222,241.6,120
Kentavious Caldwell-Pope,2013,SG,6.45%,8.5,9,126,138,150,203.6,168
Kevin Jones,2012,PF,11.20%,9,7.75,147,162,204,251.2,102
Kevin Murphy,2012,SG,5.80%,8.5,8.5,132,147,132,194,153
Kevon Looney,2015,PF,11.90%,9.5,9.25,168,183,132,222.4,126
Khem Birch,2014,PF,6.00%,9,8.5,162,183,228,208.8,96
Khris Middleton,2012,SF,7.80%,9,9,153,171,180,216.2,201
Kim English,2012,SG,4.30%,8.5,8.75,126,141,120,192,150
Klay Thompson,2011,SG,8.00%,8.75,9.25,141,159,186,205.6,180
Kobi Simmons,2017,PG,5.00%,8.5,9.5,111,126,132,166.2,144
Kris Dunn,2016,PG,,,,108,123,144,,186
Kris Joseph,2012,SG,8.60%,9,9,144,156,192,215,204
Kyle Anderson,2014,SF,13.35%,8.25,8.75,162,174,234,230.1,117
Kyle Kuzma,2017,SF-SG,9.40%,8.5,9.5,168,186,234,222.6,87
Kyle O'Quinn,2012,PF,8.00%,9.5,10,174,192,222,240.8,141
Kyle Singler,2011,SF,10.00%,8.25,8.75,162,174,216,228,193.2
Kyle Wiltjer,2016,PF,15.25%,8.25,9.5,177,192,174,242.8,87
Kyrie Irving,2011,PG,10.20%,8.25,9.25,93,114,132,191,120
LaceDarius Dunn,2011,SG,5.50%,9,10.25,108,120,156,187.8,147
Lamar Patterson,2014,SG,10.75%,9,9.25,120,135,156,226,204
Lance Stephenson,2010,SG,9.30%,9,10.25,126,141,180,227,198
LaQuinton Ross,2014,SF,16.30%,8.75,9.75,150,162,216,238.7,105
Larry Nance,2015,PF,6.40%,9,9.75,162,174,108,226.6,102
Larry Sanders,2010,PF-C,4.60%,9.75,11,183,198,156,222.4,153
Lazar Hayward,2010,SG-SF,7.50%,9.25,9.5,126,141,168,225.8,93
Lorenzo Brown,2013,PG,3.95%,8.25,8.5,120,135,144,189.2,156
Luke Babbitt,2010,SF-PF,5.60%,8.5,10,162,177,198,217.8,207
Luke Harangody,2010,PF,11.10%,8.75,9.75,144,165,216,240.2,186
Luke Kennard,2017,SG-SF,6.60%,8,8.75,126,138,126,196.2,135
Malachi Richardson,2016,SG-SF,7.00%,8.75,10,129,147,162,199.6,84
Malcolm Brogdon,2016,SG,5.40%,9,10.25,117,138,120,223,198
Malcolm Lee,2011,SG,5.90%,8.5,9.5,120,138,162,198.2,189
Malcolm Thomas,2011,PF,5.90%,9.5,10.5,162,177,234,223,90
Malik Beasley,2016,SG,6.90%,8.5,9,114,126,150,189.8,156
Malik Newman,2016,SG,5.60%,8.25,9.25,99,114,114,182.2,141
Manny Harris,2010,SG,3.80%,8.5,9,120,138,168,185.1,159
Marcus Denmon,2012,SG,6.60%,8.25,9.75,99,111,210,188.2,132
Marcus Lee,2016,PF-C,5.35%,9,9,180,195,234,211,120
Marcus Morris,2011,PF-SF,8.00%,8.25,8.5,156,177,210,229.6,192
Marcus Paige,2016,PG,4.30%,7.75,8.75,78,93,108,163.8,147
Marcus Smart,2014,PG,10.55%,9,8.75,96,111,132,227.2,183
Marcus Thornton,2015,PG-SG,5.30%,8.25,8.5,93,105,114,177.4,165
Markel Brown,2014,SG,4.20%,8.25,9.75,102,114,144,184.4,177
Markelle Fultz,2017,PG,0%,0,0,0,0,0,0,0
Markieff Morris,2011,PF,10.20%,8.5,8.25,165,183,222,240.8,201
Marquese Chriss,2016,PF,8.50%,9,9,177,192,204,233,87
Marquis Teague,2012,PG,6.30%,8.25,7.75,84,96,102,179.8,159
Marshon Brooks,2011,SG,5.20%,9,10.5,123,135,156,194.6,96
Mason Plumlee,2013,C-PF,6.15%,9.75,9.5,207,90,108,238.2,204
Maurice Harkless,2012,SF,5.30%,9.25,10.25,159,177,174,206.6,84
Melo Trimble,2016,PG,8.35%,8,8.75,87,102,186,191.8,96
Melo Trimble,2017,PG,10.60%,8,8.75,87,102,222,195.2,96
Melvin Ejim,2014,SF,6.45%,8.75,9.25,135,156,186,218.5,207
Meyers Leonard,2012,C,5.70%,9.25,11,213,99,108,249.8,120
Michael Carter-Williams,2013,PG,4.40%,7.5,8.5,129,141,156,184.4,159
Michael Dunigan,2011,PF-C,8.00%,9,10.75,174,192,234,237.6,123
Michael Frazier II,2015,SG,7.40%,8.25,9.25,117,123,162,199.4,168
Michael Gbinije,2016,SG,5.40%,8,9,138,153,156,204.6,162
Michael Kidd-Gilchrist,2012,SF,7.00%,9,10.25,141,162,198,232.8,84
Michael Qualls,2015,SG-SF,4.00%,9,10.25,120,132,198,201.4,87
Mike Muscala,2013,C-PF,6.80%,8.5,9,195,210,108,230.2,96
Mike Scott,2012,PF,10.60%,8.5,9,159,177,192,240.8,201
Mikhail Torrance,2010,PG,7.00%,8.75,9.5,120,132,180,208.8,162
Miles Plumlee,2012,PF-C,11.40%,9.25,9,198,213,210,252.4,93
Monte Morris,2017,PG,6.90%,8.25,8.75,87,102,102,175.2,120
Montrezl Harrell,2015,PF,11.90%,9,9.75,156,162,120,253.4,135
Moritz Wagner,2017,PF,6.70%,8.75,10.75,192,207,108,231.2,84
Mouhammadou Jaiteh,2015,C-PF,9.90%,9,9.25,186,198,138,246.8,123
Myck Kabongo,2013,PG,6.00%,8.25,9,87,105,120,180.4,147
Myles Turner,2015,C-PF,9.30%,9.25,9.25,189,210,156,238.6,132
Nate Wolters,2013,PG,5.50%,8.25,8.75,114,129,120,196.4,117
Nerlens Noel,2013,C,4.15%,9.5,10,192,213,132,206.4,129
Nick Johnson,2014,SG,6.05%,8.75,9.75,90,108,102,198,159
Nigel Hayes,2016,SF-PF,10.90%,8.5,9.5,147,159,234,245,120
Nigel Hayes,2017,PF,11.50%,8.75,10,147,162,198,254.2,123
Nigel Williams-Goss,2017,PG,5.60%,8.75,9.25,90,108,132,190.2,159
Nik Stauskas,2014,SG,12.05%,8.5,8.5,135,150,168,206.9,165
Nikola Vucevic,2011,PF-C,6.10%,9.25,10.25,195,213,162,259.8,138
