Player,Games Played,MIN,FGM,FGA,FG_PCT,3PM,3PA,3Per,FTM,FTA,FTPer,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Age,Season
Channing Frye,44,17.1,1.8,4.2,0.435,1.1,2.8,0.397,0.4,0.5,0.905,0.5,2.7,3.2,1,0.5,0.5,0.7,1.6,32,2015
Channing Frye,26,17.2,2.7,6.2,0.441,1.7,4.4,0.377,0.4,0.5,0.786,0.5,3.1,3.6,1,0.3,0.3,0.5,2.2,32,2015
Danilo Gallinari,53,34.7,5.4,13.2,0.41,1.6,4.5,0.364,7.1,8.2,0.868,1,4.3,5.3,2.5,0.8,0.4,1.5,1.6,27,2015
Langston Galloway,82,24.8,2.8,7.2,0.393,0.9,2.7,0.344,1,1.4,0.754,0.5,3,3.5,2.5,0.9,0.3,0.7,2.2,24,2015
Kevin Garnett,38,14.6,1.4,3,0.47,0,0,0,0.4,0.6,0.667,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,39,2015
Marc Gasol,52,34.4,6.3,13.6,0.464,0,0.1,0.667,3.9,4.7,0.829,1.1,5.8,7,3.8,1,1.3,2.3,2.7,31,2015
Pau Gasol,72,31.8,6.5,13.8,0.469,0.3,1,0.348,3.2,4,0.792,2.2,8.9,11,4.1,0.6,2,2.3,2.1,35,2015
Rudy Gay,70,34,6.7,14.4,0.463,1.1,3.1,0.344,2.8,3.6,0.78,1.5,5,6.5,1.7,1.4,0.7,2,2.6,29,2015
Alonzo Gee,73,22.4,1.8,3.5,0.518,0.2,0.8,0.283,0.6,0.9,0.667,0.8,2.5,3.4,1,0.9,0.2,0.8,2.3,28,2015
Paul George,81,34.8,7.5,17.9,0.418,2.6,7,0.371,5.6,6.5,0.86,1,6,7,4.1,1.9,0.4,3.3,2.8,25,2015
Taj Gibson,73,26.5,3.6,6.8,0.526,0,0,0,1.4,2,0.692,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,30,2015
Manu Ginobili,58,19.6,3.4,7.5,0.453,1.2,3.1,0.391,1.6,1.9,0.813,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,38,2015
Rudy Gobert,61,31.7,3.2,5.8,0.559,0,0,,2.6,4.6,0.569,3.4,7.5,11,1.5,0.7,2.2,1.9,2.7,23,2015
Drew Gooden,30,10.2,1.1,3.4,0.32,0.2,1.4,0.171,0.3,0.5,0.643,0.9,1.9,2.8,0.4,0.3,0.4,0.4,1.3,34,2015
Archie Goodwin,57,19.5,3.1,7.4,0.417,0.4,1.7,0.232,2.3,3.4,0.674,0.5,2,2.5,2.1,0.5,0.2,1.8,1.5,21,2015
Aaron Gordon,78,23.9,3.5,7.4,0.473,0.5,1.8,0.296,1.7,2.5,0.668,2,4.5,6.5,1.6,0.8,0.7,0.8,2,20,2015
Eric Gordon,45,32.9,5.1,12.3,0.418,2.5,6.5,0.384,2.5,2.8,0.888,0.2,2,2.2,2.7,1,0.3,1.6,2.2,27,2015
Marcin Gortat,75,30.1,5.8,10.2,0.567,0,0,0,1.9,2.8,0.705,3,6.9,9.9,1.4,0.6,1.3,1.6,2.6,31,2015
Andrew Goudelock,8,6.3,1.1,2.5,0.45,0.1,1.1,0.111,0.4,0.5,0.75,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,27,2015
Jerami Grant,77,26.8,3.3,7.8,0.419,0.5,1.9,0.24,2.8,4.2,0.658,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,21,2015
Jerian Grant,76,16.6,2,5.1,0.394,0.3,1.3,0.22,1.3,1.6,0.78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,23,2015
Danny Green,79,26.1,2.7,7.1,0.376,1.5,4.4,0.332,0.4,0.6,0.739,0.6,3.2,3.8,1.8,1,0.8,0.9,1.8,28,2015
Draymond Green,81,34.7,5,10.1,0.49,1.2,3.2,0.388,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3,25,2015
Erick Green,9,4.7,0.6,1.4,0.385,0.1,0.6,0.2,0.2,0.2,1,0.3,0.3,0.7,0.3,0.1,0,0,0.4,24,2015
Erick Green,3,2.3,0,0.3,0,0,0.3,0,0,0,,0,0.3,0.3,0.3,0,0,0,0,24,2015
Erick Green,6,5.8,0.8,2,0.417,0.2,0.7,0.25,0.3,0.3,1,0.5,0.3,0.8,0.3,0.2,0,0,0.7,24,2015
Gerald Green,69,22.6,3.3,8.5,0.392,1.2,3.8,0.323,1,1.3,0.783,0.4,2,2.4,0.8,0.6,0.3,0.7,1.8,30,2015
JaMychal Green,78,18.5,2.9,6.3,0.465,0.2,0.6,0.333,1.3,1.8,0.752,1.8,3,4.8,0.9,0.6,0.4,1.1,2.4,25,2015
Jeff Green,80,28.2,4.4,10.3,0.43,0.8,2.7,0.315,2.1,2.8,0.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,29,2015
Jeff Green,53,29.1,4.5,10.5,0.431,0.8,2.6,0.309,2.3,2.9,0.8,1,3.5,4.5,1.8,0.8,0.4,1.3,1.9,29,2015
Jeff Green,27,26.3,4.2,9.9,0.427,0.9,2.9,0.325,1.5,2.4,0.615,0.7,2.7,3.4,1.5,0.7,0.8,0.9,2.3,29,2015
Blake Griffin,35,33.4,8.6,17.2,0.499,0.2,0.5,0.333,4,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,26,2015
Jorge Gutierrez,12,5.3,0.5,0.9,0.545,0,0.2,0,0.8,0.9,0.909,0,0.6,0.6,1.4,0.3,0,0.5,0.3,27,2015
P.J. Hairston,66,19.9,2.2,6.2,0.355,1.1,3.7,0.29,0.8,1,0.781,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,23,2015
P.J. Hairston,48,19.5,2.1,5.8,0.359,1.1,3.6,0.314,0.7,0.9,0.81,0.4,2.3,2.7,0.6,0.5,0.1,0.5,2.2,23,2015
P.J. Hairston,18,20.8,2.6,7.3,0.348,0.9,3.8,0.232,0.9,1.2,0.727,0.4,2.2,2.6,0.5,0.4,0.2,0.9,1.7,23,2015
Jordan Hamilton,11,27.6,4.5,10.5,0.422,1.2,4.1,0.289,1.3,1.9,0.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,25,2015
Tyler Hansbrough,44,7.8,0.7,1.6,0.451,0,0.1,0.667,0.9,1.5,0.585,0.9,1.1,2,0.2,0.3,0.2,0.3,1.3,30,2015
Tim Hardaway,51,16.9,2.2,5.2,0.43,0.9,2.8,0.338,1,1.1,0.893,0.1,1.5,1.7,1,0.4,0.1,0.5,0.9,23,2015
James Harden,82,38.1,8.7,19.7,0.439,2.9,8,0.359,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,26,2015
Maurice Harkless,78,18.7,2.5,5.3,0.474,0.5,1.8,0.279,0.9,1.4,0.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,22,2015
Justin Harper,5,7,0.8,2,0.4,0.8,1.8,0.444,0.2,0.4,0.5,0,0.2,0.2,0,0.2,0,0.4,0.6,26,2015
Montrezl Harrell,39,9.7,1.5,2.3,0.644,0,0,0,0.6,1.2,0.522,0.6,1,1.7,0.4,0.3,0.3,0.4,1.2,22,2015
Devin Harris,64,20,2.6,5.8,0.447,0.8,2.5,0.329,1.6,2.2,0.721,0.3,1.9,2.2,1.8,0.9,0.2,1,1.9,32,2015
Gary Harris,76,32.1,4.7,10.1,0.469,1.4,3.9,0.354,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,21,2015
Joe Harris,5,3,0.2,0.8,0.25,0.2,0.8,0.25,0,0,,0,0.6,0.6,0.4,0,0,0.2,0.2,24,2015
Tobias Harris,76,33.1,5.5,11.7,0.469,1.1,3.1,0.335,2.7,3.2,0.831,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2,23,2015
Tobias Harris,49,32.9,5.1,11,0.464,1,3.1,0.311,2.4,3.1,0.784,1.4,5.5,7,2,1,0.6,1.6,1.9,23,2015
Tobias Harris,27,33.4,6.1,12.9,0.477,1.2,3.3,0.375,3,3.3,0.911,0.9,5.3,6.2,2.6,0.7,0.4,1.1,2.3,23,2015
Aaron Harrison,21,4.4,0.2,0.9,0.263,0.1,0.5,0.3,0.2,0.6,0.417,0.2,0.5,0.7,0.1,0.3,0,0.2,0.5,21,2015
Udonis Haslem,37,7,0.6,1.6,0.377,0,0.2,0.111,0.3,0.4,0.75,0.3,1.8,2,0.4,0.1,0.1,0.1,0.7,35,2015
Spencer Hawes,57,18.2,2.2,5.4,0.405,0.7,1.8,0.373,0.9,1.1,0.831,0.9,3.4,4.3,1.9,0.4,0.5,1,1.9,27,2015
Chuck Hayes,2,12,0.5,1,0.5,0,0,,1,1,1,0,4,4,1,0,0,1.5,3,32,2015
Gordon Hayward,80,36.2,6.5,15,0.433,1.8,5.1,0.349,4.9,6,0.824,0.8,4.2,5,3.7,1.2,0.3,2.5,2.3,25,2015
Gerald Henderson,72,19.9,3.2,7.3,0.439,0.7,1.9,0.353,1.6,2,0.767,0.4,2.5,2.9,1,0.5,0.3,0.9,1.2,28,2015
John Henson,57,16.8,2.9,5.1,0.564,0,0,0,1.2,2.1,0.59,1.5,2.4,3.9,0.9,0.3,1.9,1.1,2.3,25,2015
Mario Hezonja,79,17.9,2.3,5.3,0.433,0.8,2.4,0.349,0.6,0.7,0.907,0.4,1.9,2.2,1.4,0.5,0.2,1.2,1.6,20,2015
Roy Hibbert,81,23.2,2.2,5.1,0.443,0,0,0,1.4,1.8,0.807,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,29,2015
J.J. Hickson,35,12.5,2.3,4.4,0.516,0,0,0,1.3,2.9,0.447,1.1,2.7,3.8,0.7,0.4,0.4,0.7,1.3,27,2015
J.J. Hickson,20,15.3,2.8,5.5,0.505,0,0,,1.4,3,0.458,1.1,3.3,4.4,0.8,0.5,0.6,0.8,1.8,27,2015
J.J. Hickson,15,8.7,1.7,3.1,0.543,0,0.1,0,1.3,2.9,0.432,1.1,1.9,3,0.5,0.3,0.1,0.6,0.8,27,2015
Nene Hilario,57,19.2,3.7,6.7,0.544,0,0.1,0,1.9,3.2,0.578,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,33,2015
George Hill,74,34.1,4.4,10,0.441,1.7,4.2,0.408,1.5,2,0.76,0.8,3.2,4,3.5,1.1,0.2,1.4,2,29,2015
Jordan Hill,73,20.7,3.8,7.5,0.506,0,0,0,1.2,1.7,0.712,2.1,4,6.2,1.2,0.5,0.5,1.3,2.1,28,2015
Solomon Hill,59,14.7,1.6,3.5,0.447,0.4,1.3,0.324,0.6,0.7,0.857,0.7,2.2,2.8,1,0.6,0.2,0.6,1.2,24,2015
Darrun Hilliard,38,10.1,1.4,3.4,0.397,0.5,1.3,0.38,0.8,1.1,0.725,0.1,1.1,1.2,0.7,0.2,0,0.5,0.7,22,2015
Kirk Hinrich,46,13.7,1.1,2.8,0.38,0.5,1.3,0.387,0.3,0.3,0.938,0.2,1.3,1.5,1.6,0.3,0,0.7,1.4,35,2015
Kirk Hinrich,35,15.9,1.3,3.4,0.398,0.7,1.6,0.411,0.4,0.5,0.938,0.2,1.5,1.7,1.7,0.4,0,0.8,1.8,35,2015
Kirk Hinrich,11,6.9,0.2,1,0.182,0.1,0.5,0.167,0,0,,0.1,1,1.1,1.3,0.2,0.1,0.3,0.1,35,2015
Jrue Holiday,65,28.2,6.3,14.4,0.439,1.3,4,0.336,2.8,3.3,0.843,0.4,2.6,3,6,1.4,0.3,2.6,2.3,25,2015
Justin Holiday,53,14.6,1.7,4.3,0.386,0.7,2,0.343,0.5,0.7,0.73,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,26,2015
Justin Holiday,26,10.1,0.9,2.8,0.329,0.4,1.7,0.222,0.2,0.4,0.5,0.2,0.9,1,0.4,0.5,0.2,0.5,0.8,26,2015
Justin Holiday,27,18.9,2.4,5.7,0.413,1,2.2,0.433,0.8,1,0.815,0.3,2,2.3,1.7,0.7,0.6,1,1.5,26,2015
Ryan Hollins,37,12.4,1.3,2.1,0.62,0,0,,0.7,1.1,0.619,1.3,1.4,2.6,0.3,0.2,0.6,0.6,1.7,31,2015
Ryan Hollins,5,9.6,0.8,1.4,0.571,0,0,,0,0,,1.4,0.8,2.2,0,0,0.2,0.6,0.8,31,2015
Ryan Hollins,32,12.9,1.4,2.3,0.625,0,0,,0.8,1.3,0.619,1.3,1.5,2.7,0.3,0.2,0.6,0.7,1.8,31,2015
Rondae Hollis-Jefferson,29,21.2,2.2,4.8,0.457,0.1,0.5,0.286,1.3,1.8,0.712,1.3,4,5.3,1.5,1.3,0.6,0.9,2.1,21,2015
Richaun Holmes,51,13.8,2.2,4.4,0.514,0.2,0.9,0.182,1,1.5,0.689,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,22,2015
Rodney Hood,79,32.2,5.2,12.3,0.42,2,5.7,0.359,2.2,2.5,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,23,2015
Al Horford,82,32.1,6.5,12.8,0.505,1.1,3.1,0.344,1.3,1.6,0.798,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2,29,2015
Dwight Howard,71,32.1,5.2,8.5,0.62,0,0.1,0,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1,1.6,2.3,3.1,30,2015
Marcelo Huertas,53,16.4,1.8,4.3,0.422,0.3,1.2,0.262,0.5,0.5,0.931,0.3,1.4,1.7,3.4,0.5,0.1,1.5,1.4,32,2015
Josh Huestis,5,11,1,2.4,0.417,0.8,1.2,0.667,0,0.8,0,0.4,1.6,2,0,0.2,0.4,0.6,0.6,24,2015
Kris Humphries,53,15.8,2.3,5.6,0.41,0.6,2,0.315,1.3,1.6,0.798,1.1,3,4.1,0.7,0.3,0.4,0.7,1.8,30,2015
Kris Humphries,28,16.6,2.3,5.6,0.405,0.8,2.4,0.343,1,1.1,0.935,0.9,3.2,4.1,0.6,0.1,0.5,0.7,1.5,30,2015
Kris Humphries,4,18.5,2.5,9,0.278,0.8,2.5,0.3,1.5,2,0.75,2.8,5.3,8,1.8,0.8,0.5,1,2,30,2015
Kris Humphries,21,14,2.2,4.8,0.465,0.4,1.5,0.258,1.5,2.1,0.711,1,2.4,3.4,0.6,0.5,0.3,0.7,2.1,30,2015
R.J. Hunter,36,8.8,1,2.7,0.367,0.5,1.8,0.302,0.2,0.2,0.857,0.1,1,1,0.4,0.4,0.1,0.3,0.8,22,2015
Serge Ibaka,78,32.1,5.3,11.1,0.479,0.8,2.4,0.326,1.2,1.6,0.752,1.8,5,6.8,0.8,0.5,1.9,1.4,2.7,26,2015
Andre Iguodala,65,26.6,2.7,5.7,0.478,0.8,2.4,0.351,0.8,1.3,0.614,0.8,3.2,4,3.4,1.1,0.3,1.2,1.6,32,2015
Ersan Ilyasova,74,25.4,3.8,8.9,0.424,1.3,3.5,0.371,1.5,2.1,0.721,1.9,3.5,5.4,0.9,0.7,0.4,1,2.3,28,2015
Ersan Ilyasova,52,27.6,4.2,9.8,0.425,1.5,4.1,0.363,1.5,2.1,0.725,1.9,3.5,5.4,1.1,0.7,0.5,1.1,2.3,28,2015
Ersan Ilyasova,22,20.3,2.9,7,0.418,0.8,2,0.409,1.5,2,0.711,2,3.5,5.5,0.5,0.6,0.3,0.5,2.3,28,2015
Joe Ingles,81,15.3,1.5,3.6,0.426,1,2.6,0.386,0.2,0.2,0.722,0.2,1.6,1.9,1.2,0.7,0,0.8,1.2,28,2015
Damien Inglis,20,7.8,0.7,1.9,0.351,0.2,0.7,0.231,0.4,0.4,0.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,20,2015
Kyrie Irving,53,31.5,7.4,16.6,0.448,1.6,4.9,0.321,3.2,3.6,0.885,0.8,2.1,3,4.7,1.1,0.3,2.3,2,23,2015
Jarrett Jack,32,32.1,4.4,11.2,0.391,1,3.2,0.304,3.1,3.5,0.893,0.3,4,4.3,7.4,1.1,0.2,2.9,2.4,32,2015
Reggie Jackson,79,30.7,6.8,15.7,0.434,1.5,4.2,0.353,3.7,4.3,0.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,25,2015
LeBron James,76,35.6,9.7,18.6,0.52,1.1,3.7,0.309,4.7,6.5,0.731,1.5,6,7.4,6.8,1.4,0.6,3.3,1.9,31,2015
Al Jefferson,47,23.3,5.2,10.7,0.485,0,0,,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,31,2015
Cory Jefferson,8,6.3,1.1,2.8,0.409,0,0.1,0,0.5,0.8,0.667,0.8,1.3,2,0,0,0.1,0,1,25,2015
Richard Jefferson,74,17.9,1.9,4.2,0.458,0.9,2.3,0.382,0.8,1.2,0.667,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,35,2015
John Jenkins,43,11.2,1.7,3.7,0.444,0.4,1.2,0.314,0.5,0.6,0.833,0.2,1.1,1.3,0.8,0.2,0,0.6,0.5,24,2015
John Jenkins,21,9.2,1.4,3.3,0.414,0.1,0.9,0.158,0.4,0.4,0.889,0.2,0.9,1,0.4,0.1,0,0.5,0.5,24,2015
John Jenkins,22,13,1.9,4.1,0.467,0.6,1.5,0.406,0.5,0.7,0.8,0.2,1.4,1.6,1.2,0.2,0,0.7,0.5,24,2015
Brandon Jennings,48,18.1,2.3,6.3,0.368,1.1,3.2,0.329,1.2,1.6,0.731,0.3,1.7,2,3.5,0.6,0.1,1.2,1.2,26,2015
Brandon Jennings,23,18.1,2.3,6.2,0.371,1,3.3,0.312,1.2,1.7,0.711,0.2,1.8,2,3,0.5,0.1,1,1,26,2015
Brandon Jennings,25,18.1,2.4,6.4,0.366,1.1,3.1,0.346,1.2,1.6,0.75,0.4,1.6,2,4,0.7,0.2,1.4,1.3,26,2015
Jonas Jerebko,78,15.1,1.5,3.7,0.413,0.6,1.4,0.398,0.8,1,0.782,1,2.7,3.7,0.8,0.3,0.3,0.7,1.8,28,2015
Amir Johnson,79,22.8,3.2,5.4,0.585,0.1,0.5,0.233,0.9,1.5,0.57,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,28,2015
Chris Johnson,70,12.2,1,2.8,0.371,0.4,1.4,0.273,0.5,0.6,0.81,0.4,1.5,1.9,0.6,0.5,0.3,0.6,1.4,25,2015
James Johnson,57,16.2,2,4.2,0.475,0.4,1.2,0.303,0.7,1.2,0.574,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,28,2015
Joe Johnson,81,33.4,4.7,10.6,0.439,1.5,3.9,0.383,1.5,1.8,0.831,0.6,3,3.6,3.9,0.8,0,2,1.8,34,2015
Joe Johnson,57,33.9,4.3,10.7,0.406,1.5,4,0.371,1.6,1.9,0.852,0.6,3.3,3.9,4.1,0.7,0,2,1.8,34,2015
Joe Johnson,24,32,5.4,10.5,0.518,1.5,3.5,0.417,1.1,1.4,0.765,0.6,2.2,2.8,3.6,0.9,0.1,1.8,1.9,34,2015
Orlando Johnson,7,14.4,1.3,4.9,0.265,0.3,1.4,0.2,0.9,1.1,0.75,0.6,1.6,2.1,0.3,0.4,0.4,0.6,1.3,26,2015
Orlando Johnson,2,23.5,2.5,8.5,0.294,0.5,2.5,0.2,2.5,3,0.833,1.5,3,4.5,0,1,1.5,0.5,2.5,26,2015
Orlando Johnson,5,10.8,0.8,3.4,0.235,0.2,1,0.2,0.2,0.4,0.5,0.2,1,1.2,0.4,0.2,0,0.6,0.8,26,2015
Stanley Johnson,73,23.1,3.1,8.2,0.375,0.9,2.8,0.307,1.1,1.4,0.784,0.8,3.4,4.2,1.6,0.8,0.2,1.6,2.4,19,2015
Tyler Johnson,36,24,3.3,6.8,0.486,0.8,2,0.38,1.4,1.8,0.797,0.8,2.3,3,2.2,0.7,0.4,1.3,1.8,23,2015
Wesley Johnson,80,20.8,2.6,6.4,0.404,1.3,3.9,0.333,0.4,0.6,0.652,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,28,2015
Nikola Jokic,80,21.7,3.8,7.5,0.512,0.4,1.1,0.333,1.9,2.4,0.811,2.3,4.7,7,2.4,1,0.6,1.3,2.6,20,2015
Dahntay Jones,1,42,6,14,0.429,1,2,0.5,0,0,,1,4,5,2,1,2,0,6,35,2015
James Jones,48,9.6,1.2,3,0.408,0.9,2.2,0.394,0.4,0.5,0.808,0.2,0.9,1,0.3,0.2,0.2,0.3,1,35,2015
Terrence Jones,50,20.9,3.3,7.3,0.452,0.5,1.6,0.316,1.5,2.3,0.664,1.2,3,4.2,0.8,0.5,0.8,1,1.7,24,2015
Tyus Jones,37,15.5,1.5,4.2,0.359,0.4,1.4,0.302,0.8,1.1,0.718,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,19,2015
DeAndre Jordan,77,33.7,4.6,6.6,0.703,0,0,0,3.5,8,0.43,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,27,2015
Cory Joseph,80,25.6,3.2,7.3,0.439,0.4,1.4,0.273,1.7,2.2,0.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,24,2015
Chris Kaman,16,7,1.3,2.7,0.465,0.1,0.3,0.25,0.2,0.2,1,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,33,2015
Frank Kaminsky,81,21.1,2.7,6.5,0.41,0.8,2.5,0.337,1.3,1.8,0.73,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,22,2015
Enes Kanter,82,21,5,8.8,0.576,0.1,0.3,0.476,2.4,3.1,0.797,3,5.1,8.1,0.4,0.3,0.4,1.4,2,23,2015
Sergey Karasev,40,10,0.8,1.9,0.405,0.3,0.9,0.297,0.7,0.7,0.929,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,22,2015
Sasha Kaun,25,3.8,0.4,0.7,0.529,0,0,,0.2,0.4,0.455,0.5,0.6,1,0.1,0.2,0.2,0.3,0.4,30,2015
Ryan Kelly,36,13.1,1.5,4.1,0.369,0.1,1,0.135,1,1.5,0.685,0.6,2.8,3.4,0.6,0.4,0.3,0.5,1.1,24,2015
Michael Kidd-Gilchrist,7,29.3,4.7,8.7,0.541,0.4,1,0.429,2.9,4.1,0.69,1.7,4.7,6.4,1.3,0.4,0.4,1.1,1.3,22,2015
Sean Kilpatrick,31,19.9,4,8.7,0.456,1.3,3.7,0.342,1.9,2.2,0.896,0.4,1.4,1.8,0.9,0.4,0.1,1,1.2,26,2015
Sean Kilpatrick,8,10.3,1,2.6,0.381,0.5,2.1,0.235,0.9,1,0.875,0.3,0.5,0.8,0.4,0.3,0,0.5,0.9,26,2015
Sean Kilpatrick,23,23.2,5,10.8,0.462,1.5,4.2,0.361,2.3,2.6,0.898,0.4,1.7,2.2,1.1,0.4,0.1,1.2,1.3,26,2015
Brandon Knight,52,36,7.1,17.2,0.415,2.3,6.8,0.342,3,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,24,2015
Kyle Korver,80,30,3.4,7.7,0.435,2,5,0.398,0.6,0.7,0.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2,34,2015
Kosta Koufos,78,19,3,5.7,0.532,0,0,,0.7,1.3,0.548,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,26,2015
Jeremy Lamb,66,18.6,3.5,7.7,0.451,0.8,2.7,0.309,1,1.3,0.727,0.7,3.2,3.8,1.2,0.6,0.5,0.8,1.6,23,2015
Carl Landry,36,15.8,3.9,6.9,0.556,0.2,0.4,0.462,1.9,2.5,0.736,1.4,2.7,4.1,0.9,0.3,0.3,0.6,1.9,32,2015
Shane Larkin,78,22.4,2.8,6.4,0.442,0.5,1.4,0.361,1.1,1.4,0.776,0.4,1.9,2.3,4.4,1.2,0.2,1.9,1.6,23,2015
Joffrey Lauvergne,59,17.6,3.3,6.4,0.513,0.2,0.9,0.245,1.1,1.2,0.899,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,24,2015
Zach LaVine,82,28,5.3,11.7,0.452,1.5,3.9,0.389,2,2.5,0.793,0.3,2.5,2.8,3.1,0.8,0.2,1.9,2.4,20,2015
Ty Lawson,66,21.4,2.1,5.4,0.393,0.5,1.6,0.333,0.9,1.3,0.686,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,28,2015
Ty Lawson,53,22.2,2.1,5.4,0.387,0.6,1.8,0.33,1.1,1.5,0.7,0.4,1.3,1.7,3.4,0.8,0.1,1.5,1.3,28,2015
Ty Lawson,13,18.1,2.2,5.2,0.418,0.4,1.1,0.357,0.2,0.5,0.5,0.5,1.9,2.4,4.4,0.8,0.1,1,1.2,28,2015
Courtney Lee,79,29.5,3.7,8.1,0.454,1,2.7,0.378,1.3,1.5,0.839,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,30,2015
Courtney Lee,51,29.2,3.8,8.2,0.458,1,2.7,0.37,1.5,1.8,0.826,0.4,1.9,2.3,1.5,1,0.3,1,1.5,30,2015
Courtney Lee,28,30.2,3.5,7.9,0.445,1.1,2.8,0.392,0.8,0.9,0.885,0.4,2.8,3.1,2.1,1.2,0.4,0.8,2,30,2015
David Lee,55,16.4,3.2,6.1,0.531,0,0,0,1.3,1.7,0.763,1.8,3.7,5.5,1.5,0.4,0.5,1.2,2.1,32,2015
David Lee,30,15.7,2.9,6.4,0.453,0,0,0,1.3,1.7,0.784,1.4,3,4.3,1.8,0.4,0.4,1.3,1.7,32,2015
David Lee,25,17.3,3.6,5.7,0.636,0,0,,1.2,1.7,0.738,2.4,4.6,7,1.2,0.4,0.6,1.1,2.5,32,2015
Alex Len,78,23.3,3.4,8,0.423,0,0.1,0.143,2.2,3.1,0.728,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,22,2015
Kawhi Leonard,72,33.1,7.7,15.1,0.506,1.8,4,0.443,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1,1.5,1.8,24,2015
Meyers Leonard,61,21.9,3.2,7.1,0.448,1.4,3.7,0.377,0.6,0.8,0.761,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3,23,2015
Jon Leuer,67,18.7,3.3,7,0.481,0.6,1.6,0.382,1.1,1.5,0.762,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,26,2015
Damian Lillard,75,35.7,8.2,19.7,0.419,3.1,8.1,0.375,5.5,6.2,0.892,0.6,3.4,4,6.8,0.9,0.4,3.2,2.2,25,2015
Jeremy Lin,78,26.3,3.8,9.3,0.412,1,2.9,0.336,3.1,3.7,0.815,0.5,2.7,3.2,3,0.7,0.5,1.9,2.1,27,2015
Shaun Livingston,78,19.5,2.6,4.9,0.536,0,0.2,0.167,1,1.2,0.86,0.5,1.6,2.2,3,0.7,0.3,1,1.8,30,2015
Kevon Looney,5,4.2,0.8,1.4,0.571,0.2,0.4,0.5,0,0,,0.8,1.2,2,0,0,0,0.2,0.4,19,2015
Brook Lopez,73,33.7,8.1,15.8,0.511,0,0.2,0.143,4.3,5.5,0.787,2.8,5.1,7.8,2,0.8,1.7,2.4,2.9,27,2015
Robin Lopez,82,27.1,4.4,8.1,0.539,0,0,0,1.6,2,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,27,2015
Kevin Love,77,31.5,5.3,12.7,0.419,2.1,5.7,0.36,3.4,4.1,0.822,1.9,8,9.9,2.4,0.8,0.5,1.8,2.1,27,2015
Kyle Lowry,77,37,6.6,15.6,0.427,2.8,7.1,0.388,5.2,6.4,0.811,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,29,2015
Trey Lyles,80,17.3,2.4,5.5,0.438,0.6,1.6,0.383,0.7,1,0.695,0.7,3,3.7,0.7,0.3,0.2,0.8,1.4,20,2015
